1|Toen ik begon aan deze video had ik niet verwacht dat ik dit zou zeggen en nee het is niet om mijn eigen baan te redden maar AI is eigenlijk een vrij domme toepassing.
2|Nee echt ik meen het.
3|Luister.
4|AI is heel goed in het uitvoeren van een ding.
5|Dus herken een bepaald object in een foto.
6|Of ga van A naar B dat soort dingen.
7|Maar het heeft geen brein waarmee het logisch kan nadenken.
8|Iets wat jij en ik wel kunnen. 
9|Nou kom ik zo op terug.
10|In deze video gaan we AI ontleden want wat is het eigenlijk.
11|We kijken naar kritiek erop.
12|En Jeanine ging kijken bij twee bijzondere AI projecten.
13|Maar dat komt zo.
14|We beginnen met die eerste want wat is het.
15|De basics.
16|AI of a i staat voor Artificiële Intelligentie of Kunstmatige intelligentie.
17|Het is de mogelijkheid van een machine om keuzes te maken zonder dat daar een mens aan te pas komt.
18|En dat voelt misschien ziek futuristisch maar sommige AI technologieën bestaan al meer dan 50 jaar.
19|Het is ontstaan vanuit het idee om hersenen te nabootsen.
20|Maar vijftig jaar geleden.
21|Zag de wereld er natuurlijk heel anders uit.
22|De echte doorbraken denk aan zelfrijdende autos gezichtsherkenning en nou persoonlijke assistenten als Siri.
23|Komen natuurlijk door het internet en de enorme bak met data die daarbij komt kijken.
24|Maar oké als we het over AI hebben waar hebben we het dan eigenlijk over.
25|AI is een soort hype woord geworden de afgelopen jaren.
26|Zeg maar een soort ja containerbegrip dat voor veel dingen gebruikt wordt.
27|En daarom is het goed om te weten dat als we het tegenwoordig over AI hebben we meestal praten over Machine Learning.
28|En hier wordt het interessant.
29|Bij Machine Learning leer je een computer patronen te herkennen uit oude data en daaruit voorspellingen te doen en keuzes te maken.
30|Zonder dat wij mensen tussendoor moeten ingrijpen.
31|Snap je nee.
32|Kijk bekend voorbeeld.
33|Kijk naar dit plaatje.
34|Wat is het.
35|Ja inderdaad een hond.
36|En dit ja.
37|Een kat.
38|En dit.
39|Ja en dit.
40|Ja goed je snapt het.
41|En hoe wij dit onderscheid kunnen maken nou dat komt doordat we weten welke eigenschappen een hond en een kat hebben.
42|Honden hebben een heel ander lijf.
43|En katten een hele andere kop ze staan anders.
44|Dat zijn allemaal verschillen die ze anders maken van elkaar.
45|Nou dit is eigenlijk Machine Learning in het klein.
46|Want bij Machine Learning geef je een computer duizenden voorbeelden waarvan jij zegt dit is een hond en dit is een kat.
47|En uiteindelijk snapt ie wat dit is en kan die zelf een hond en een kat herkennen.
48|En daarin lijkt een computer heel erg op ons mensen.
49|Want jij en ik hebben ook ooit geleerd hoe een hond en een kat eruit zien.
50|Ons brein heeft dat als het ware gelabeld. 
51|Maar er is eenn essentieel verschil.
52|Wij kunnen niet zo bizar veel data analyseren daar wint de computer toch echt van ons.
53|En de training is nog niet klaar.
54|Want nadat je die computer hebt volgestouwd met data ga je dingen weglaten waardoor die moet gokken wat de uitkomst is.
55|Het antwoord heb je ergens in die bak met data verstopt.
56|Het is een beetje als vroeger.
57|Dat je op zoek moest naar cadeautjes en je vriendjes warm warm koud koud gingen zeggen.
58|Dat is dit eigenlijk ook.
59|Want uiteindelijk heeft de computer het juiste antwoord en snapt hij.
60|Dit is het missende stukje van deze afbeelding of dit stuk tekst.
61|Nou nog een voorbeeld dan.
62|Dit is Chat GPT van het bedrijf Open AI.
63|Opgericht door ondere andere en daar is ie weer Elon Musk.
64|Het is een chatbot die je echt van alles kunt vragen.
65|Ook in het Nederlands.
66|De bot bestaat sinds november en sindsdien raken mensen er niet over uitgepraat.
67|Het kan hele essays schrijven sollicitatiebrieven nu nieuwsberichten.
68|En blijkbaar ook de intro van deze video.
69|Chat GPT is een enorm taalmodel dat is gemaakt op basis van bestaande teksten tot en met 2021.
70|En voor het trainen van dit soort modellen wordt hetzelfde trucje toegepast.
71|Het is eerst volgestopt met al die teksten en vervolgens wordt er een model gemaakt waarbij die computer een leeg gelaten deel in die zin zelf moet invullen.
72|Bijvoorbeeld ik heb deze puntje puntje puntje echt gebinged.
73|Nou daar moet natuurlijk film staan.
74|Maar wat deze bot ook kan.
75|Het kan niet alleen op jou reageren maar je kunt zelfs vragen om dingen simpel uit te leggen.
76|Bijvoorbeeld voor een zesjarige.
77|En als jij dat vraagt weet het dus dat ie in een database moet kijken met simpel taalgebruik.
78|Das echt wel indrukwekkend.
